BAPID,Name,Standard,Std,F_type,Species ,Star_Stat,Country,Company ,Parent_Company ,latitude,longitude,Expiration,Language_Pref,M_tons_2015,Hatch_Output,Mill_Output,2015_CB,2015_Aud,2015_Min_N,2015_Maj_N,2015_Crt_N,M_tons_2016,2016_Aud,2016_Min_N,2016_Maj_N,2016_Crt_N
F10003,Biomar ,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Honduras,Seajoy Group,Seajoy Group,12.995,-87.2575,7/15/17,TBD,3087,,,NSF International,Feng-Hsin Chang,6,1,0,,,,,
F10004,Aquaculture Foncesa,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Honduras,Seajoy Group,Seajoy Group,13.10877137,-87.2459919,7/15/17,TBD,1921.73,,,NSF International,Feng-Hsin Chang,4,0,0,,,,,
F10015,Aquaculture Torrecillas,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Nicaragua,Seajoy Group,Seajoy Group,12.93032355,-87.47292953,7/15/17,TBD,2094.21,,,NSF International,Feng-Hsin Chang,5,2,0,,,,,
F10030,Cachugran Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Ecuador ,Omarsa S.A.,Omarsa S.A.,-2.511483333,-79.92304167,3/5/17,TBD,4143.1,,,NSF International,Angela Caporelli,6,0,0,,,,,
F10042,Zhanjiang Guolian Nansing Farm Base,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,China,Zhanjiang Guolian Aquatic Products Co.,Zhanjiang Guolian Aquatic Products Co.,21.11776742,110.5782088,9/21/17,TBD,1200,,,NSF International,Yaddo Chen,8,2,0,,,,,
F10044,Chinnaganjam,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,India,Sandhya Aqua Farm,Sandhya Aqua Farm,15.496343,80.166914,11/20/17,TBD,300,,,NSF International,Mohan Varadhan,8,3,0,,,,,
F10058,Apex  Shrimp Farm 1 ,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Bangladesh,"Apex Foods, Ltd. ","Apex Foods, Ltd. ",22.46631522,89.07246541,5/12/17,TBD,661.09,,,NSF International,Amar Garapati,3,0,0,,,,,
F10060,Pt. Lima Satu Lapan,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Indonesia,Pt. Lima Satu Lapan,BMI Group,-8.309638889,112.0310972,2/12/17,TBD,1855.2,,,NSF International,Ralph Parkman,3,0,0,,,,,
F10061,Minh Phu,Finfish and Crustacean Farm Standard,4,Farm,Shrimp/Tilapia,,Vietnam,Minh Seafood Corporation,"Giang Seafood Company, Ltd.",10.34358075,104.583479,7/7/17,TBD,7087,,,SGS India Pvt. Ltd.,Dam Thi Xuan Trang,3,0,0,,,,,
F10064,Thai Union Group PCL - Burapa Lam Dang,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Group PCL - Burapa Lam Dang,Thai Union Group PCL - Burapa Lam Dang,8.156008333,98.42501111,9/22/17,TBD,233,,,NSF International,June Pongviratchai,4,1,0,,,,,
F10068,Thai Union Group PCL. (Burapa Sarasin),Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Burapa Farm,Thai Union Group,8.213227778,98.30929444,9/22/17,TBD,124.72,,,NSF International,June Pongviratchai,3,0,0,,,,,
F10073,Maoming Changxing Culture (Gaopo),Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,Dianbai Shengxing Foods Co. Ltd.,Dianbai Shengxing Foods Co. Ltd.,22.05266379,110.7366248,2/12/18,TBD,1550.798,,,NSF International,Yaddo Chen,6,0,0,,,,,
F10097A,Okeanos Farm Group - TSM 1 Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Okeanos Food Co.,Okeanos Food Co.,10.12647818,98.7390451,6/24/17,TBD,640,,,NSF International,Bunpop Jantaro,5,0,0,,,,,
F10097B,Okeanos Farm Group - TSM 13 Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Okeanos Food Co.,Okeanos Food Co.,9.40077335,98.42087116,6/24/17,TBD,976.9,,,NSF International,Bunpop Jantaro,3,0,0,,,,,
F10100A,Aqua Pool Marine Gold - Srisuban Farm 4,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Aquapool Co. Ltd.,Aquapool Co. Ltd.,9.263888889,99.56888889,11/5/17,TBD,502.8,,,NSF International,Bunpop Jantaro,6,0,0,,,,,
F10100C,Aqua Pool Marine Gold - Srisuban farm 6,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Aquapool Co. Ltd.,Aquapool Co. Ltd.,9.260351038,99.59249182,11/5/17,TBD,474,,,NSF International,Bunpop Jantaro,9,1,0,,,,,
F10103,Guangdong Evergreen Group Co. Ltd.,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,Guangdong Evergreen Group Co. Ltd.,Guangdong Evergreen Group Co. Ltd.,21.125,109.8144444,10/1/17,TBD,876.615,,,NSF International,Yaddo Chen,15,3,0,,,,,
F10105,Zhuhai Jiayi Aquatic Limit Co. - Qianqu Farm,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,Zhuhai Jiayi Aquatic Limit Co.,Zhuhai Jiayi Aquatic Limit Co.,22.11324697,113.2534487,7/6/17,TBD,4642,,,NSF International,Yaddo Chen,7,1,0,,,,,
F10106,Sinphirom Farm - May Ao,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,May Ao Foods Co. Ltd.,May Ao Foods Co. Ltd.,12.57182111,102.0147333,6/10/17,TBD,45.2,,,NSF International,Panida Pongviratchai,2,2,0,,,,,
F10110A,Shanwei Cathay Food Farm Group 2 - Hongyang,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China ,Shanwei Cathay Food Processing Co. Ltd.,Shanwei Cathay Food Processing Co. Ltd.,22.89079627,115.167362,9/1/17,TBD,1659,,,NSF International,T.D. Babu,5,4,0,,,,,
F10111,Guangdong Gourmet Wuchuang Tilapia Farm Base,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,Zhanjian Gourmet Food Co. Ltd.,Zhanjian Gourmet Food Co. Ltd.,21.49332866,110.8594646,10/14/17,TBD,375,,,SGS China,David Liu,4,2,0,,,,,
F10112,Proceal S.A. Farm,Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,Colombia,The Proceal Company,The Proceal Company,2.708785352,-75.44573135,10/1/17,TBD,2837,,,NSF International,Angela Caporelli,5,0,0,,,,,
F10115,PT. Central Proteinaprima - Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Indonesia,PT. Central Proteinaprima,PT. Central Proteinaprima,-4.032237571,105.7464775,9/30/17,TBD,26213,,,NSF International,Panida Pongviratchai,3,0,0,,,,,
F10118,"Chongyuan Reservoir Tilapia Farm of Gaoyao City Evergreen Aquatic Products and Technology Co.,Ltd",Finfish and Crustacean Farm Standard,4,Farm,Tilapia,,China,"Chongyuan Reservoir Tilapia Farm of Gaoyao City Evergreen Aquatic Products and Technology Co.,Ltd","Chongyuan Reservoir Tilapia Farm of Gaoyao City Evergreen Aquatic Products and Technology Co.,Ltd",23.29000173,111.7423431,10/26/17,TBD,1303,,,NSF International,Yaddo Chen,12,2,0,,,,,
F10137,Rachan Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,May Ao Foods Co. Ltd.,May Ao Foods Co. Ltd.,12.29169444,102.6123611,2/26/17,TBD,303.42,,,NSF International,June Pongviratchai,7,1,0,,,,,
F10146A,Thai Union Group Public Co. Ltd. - PK Farm 1,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Group Public Co. Ltd.,Thai Union Group Public Co. Ltd.,7.417935946,99.58511553,1/28/17,TBD,49.6,,,NSF International,Bunpop Jantaro,9,0,0,,,,,
F10146B,Thai Union Group Public Co. Ltd. - PK Farm 2,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Group Public Co. Ltd.,Thai Union Group Public Co. Ltd.,7.419929698,99.5859365,1/28/17,TBD,6.8,,,NSF International,Bunpop Jantaro,9,0,0,,,,,
F10148,Jaran Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Thai Union Group Public Co. Ltd.,Thai Union Group Public Co. Ltd.,7.825230556,100.3356694,1/28/18,TBD,63,,,NSF International,Bunpop Jantaro,3,1,0,,,,,
F10167C,Xian Ning Seafood IOM Farm Group 2 - Kwanjai Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Xian Ning Seafood Co. Ltd.,Xian Ning Seafood Co. Ltd.,11.69801944,99.73465556,2/12/17,TBD,39,,,NSF International,June Pongviratchai,4,2,0,,,,,
F10167F,Xian Ning Seafood IOM Farm Group 1 - XN Farm,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,Thailand,Xian Ning Seafood IOM Farm Group 1 - XN Farm,Xian Ning Seafood IOM Farm Group 1 - XN Farm,13.22166667,99.95472222,2/12/19,,,,,,,,,,,,,,
F10182,HeAn Shrimp Farm ,Finfish and Crustacean Farm Standard,4,Farm,Shrimp,,China,Zhanjiang Southern Ocean Fishery Ltd.,Zhanjiang Southern Ocean Fishery Ltd.,20.63805556,110.4,10/1/17,TBD,3792,,,NSF International,Yaddo Chen,10,4,0,,,,,
