bapid,country,latitude,longitude
F10003,Honduras,12.995,-87.2575
F10004,Honduras,13.10877137,-87.2459919
F10015,Nicaragua,12.93032355,-87.47292953
F10030,Ecuador ,-2.511483333,-79.92304167
F10042,China,21.11776742,110.5782088
F10044,India,15.496343,80.166914
F10058,Bangladesh,22.46631522,89.07246541
F10060,Indonesia,-8.309638889,112.0310972
F10061,Vietnam,10.34358075,104.583479
F10064,Thailand,8.156008333,98.42501111
F10068,Thailand,8.213227778,98.30929444
F10073,China,22.05266379,110.7366248
F10097A,Thailand,10.12647818,98.7390451
F10097B,Thailand,9.40077335,98.42087116
F10100A,Thailand,9.263888889,99.56888889
F10100C,Thailand,9.260351038,99.59249182
F10105,China,22.11324697,113.2534487
F10106,Thailand,12.57182111,102.0147333
F10110A,China ,22.89079627,115.167362
F10111,China,21.49332866,110.8594646
F10112,Colombia,2.708785352,-75.44573135
F10115,Indonesia,-4.032237571,105.7464775
F10118,China,23.29000173,111.7423431
F10137,Thailand,12.29169444,102.6123611
F10146A,Thailand,7.417935946,99.58511553
F10146B,Thailand,7.419929698,99.5859365
F10148,Thailand,7.825230556,100.3356694
F10167C,Thailand,11.69801944,99.73465556
F10167F,Thailand,13.22166667,99.95472222
F10182,China,20.63805556,110.4
F10193A,Costa Rica,10.409603,-85.109483
F10193B,Costa Rica,10.480219,-85.403931
F10194,Colombia,2.650312822,-75.45431442
F10206,China,22.10666667,113.2486111
F10207,Malaysia,6.239825,100.2311111
F10213,China,19.48685845,109.8481545
F10215A,Thailand,9.242628333,99.57629333
F10215B,Thailand,9.263055556,99.55944444
F10215C,Thailand,9.208316667,99.23743333
F10219,Vietnam,12.61332947,109.1937483
F10228,Vietnam,16.72602401,107.3989324
F10241,India,15.504282,80.157268
F10242,India,16.77612512,82.26939082
F10243,India,20.790023,72.854681
F10244,India,16.68550673,81.47375128
F10247,China,23.32012729,113.3127741
F10249A,Vietnam,8.829158333,105.153825
F10249B,Vietnam,8.829194444,105.1629056
F10253,Vietnam,10.38330556,105.7245
F10254,China,19.65222222,110.0388889
F10257,Guatemala,14.30694444,-91.901111
F10259A,India ,16.081956,81.115152
F10259B,India,16.811194,82.248359
F10263,Thailand,9.2537697,99.2087304
F10264,Vietnam,10.43270278,104.5595056
F10265,India,15.502506,80.164355
F10266A,Canada,44.92872587,-66.93624172
F10266B,Canada,44.9181,-66.93725
F10266C,Canada,45.0120224,-66.9803587
F10266D,Canada,44.92023003,-66.93016834
F10266E,Canada,45.06025683,-66.83253679
F10266F,Canada,44.67596517,-66.71172752
F10266G,Canada,45.06397242,-66.81349375
F10266H,Canada,45.038639,-66.84335146
F10266I,Canada,45.0601962,-66.83240805
F10267A,Canada,50.85426667,-126.75715
F10267B,Canada,50.32106667,-125.0073833
F10267C,Canada,50.83053333,-126.59755
F10267D,Canada,49.32794444,-125.7961111
F10267E,Canada,49.30658333,-125.7888889
F10267F,Canada,49.27908333,-125.8308167
F10267G,Canada,50.7975,-126.4944333
F10267H,Canada,50.28655,-125.3482833
F10267I,Canada,50.30233333,-125.3378833
F10267J,Canada,49.37483333,-126.0927833
F10267K,Canada,49.21427803,-125.7672752
F10267L,Canada,49.18366,-126.00547
F10267M,Canada,49.24701111,-125.9081083
F10267N,Canada,49.257,-125.924
F10267O,Canada,49.24251,-126.091
F10267P,Canada,49.32458611,-126.0498889
F10267Q,Canada,49.23423333,-125.7517667
F10267R,Canada,49.23423333,-125.7517667
F10267S,Canada,49.34144302,-125.9531845
F10267T,Canada,49.26943333,-125.8105167
F10268A,Canada,50.6077,-126.3633167
F10268B,Canada,49.63851667,-126.3301167
F10268C,Canada,49.6452,-126.3440667
F10268D,Canada,49.63527088,-123.7826796
F10268E,Canada,49.87828833,-126.7616233
F10268F,Canada,50.32433,-125.2605583
F10268G,Canada,49.887605,-126.7908783
F10268H,Canada,49.6595,-126.4796
F10268I,Canada,49.65621,-126.43114
F10268J,Canada,49.79609667,-124.098635
F10268K,Canada,49.62855167,-123.8445767
F10268L,Canada,49.61542167,-123.831955
F10268M,Canada,49.67097,-123.86142
F10268O,Canada,49.65901,-126.4521
F10268P,Canada,49.77853,-124.15433
F10268Q,Canada,50.59967602,-126.359016
F10268R,Canada,49.64708056,-126.4329778
F10271,China,22.04938028,113.2120247
F10273A,Chile,-42.46457778,-72.44398889
F10273B,Chile,-42.72490556,-73.60887222
F10273C,Chile,-42.22508056,-72.53304444
F10273D,Chile,-41.98106389,-72.49257222
F10273E,Chile,-42.25702222,-72.43808889
F10273F,Chile,-44.56274167,-74.22981111
F10273G,Chile,-42.881225,-72.76916667
F10273I,Chile,-44.35068056,-73.73330556
F10273J,Chile,-42.37102222,-72.43393333
F10273K,Chile,-42.74951389,-73.58512778
F10273L,Chile,-42.55630556,-72.61328889
F10273M,Chile,-42.54733333,-72.53809167
F10273N,Chile,-42.56724167,-72.56198056
F10273O,Chile,-42.74155278,-73.01085
F10273Q,Chile,-44.40044178,-73.6441864
F10273S,Chile,-44.28393056,-74.23821111
F10273T,Chile,-44.34786418,-74.26199569
F10273U,Chile,-44.36495,-73.77969444
F10273V,Chile,-44.11749722,-73.66043889
F10273Y,Chile,-44.5894,-74.1779
F10274,Vietnam,9.1693,105.2412444
F10283,Indonesia,-8.386944444,113.4055556
F10287,China,19.88027778,110.6836111
F10290A,Canada,50.4055,-125.7028333
F10290AA,Canada,50.83224486,-127.5206271
F10290AB,Canada,50.8999,-127.97322
F10290AC,Canada,50.41348956,-125.658744
F10290AD,Canada,50.88229185,-127.4967224
F10290AE,Canada,52.72061667,-128.5761167
F10290AF,Canada,52.67686667,-128.57535
F10290AG,Canada,50.89321667,-127.8956833
F10290AH,Canada,50.60166667,-126.6256667
F10290AI,Canada,50.93238333,-127.4206333
F10290AJ,Canada,50.48716667,-125.8891667
F10290B,Canada,50.488,-125.355
F10290C,Canada,50.6701608,-126.4764753
F10290D,Canada,50.42576667,-125.30665
F10290E,Canada,50.47393333,-127.7988167
F10290F,Canada,50.46953333,-127.8375
F10290G,Canada,52.79553333,-128.3141
F10290H,Canada,50.65694444,-126.6666667
F10290I,Canada,50.5035,-126.18
F10290J,Canada,50.906,-127.34
F10290K,Canada,50.30893333,-125.3173833
F10290L,Canada,50.67361111,-126.1833333
F10290M,Canada,50.893,-127.254
F10290N,Canada,52.79933333,-128.409
F10290O,Canada,52.79813,-128.4043667
F10290P,Canada,50.45751667,-127.8911
F10290Q,Canada,50.6968,-126.2583
F10290R,Canada,50.4851,-127.8772667
F10290S,Canada,50.41783333,-125.7662
F10290T,Canada,50.608,-126.363
F10290U,Canada,50.67,-126.475
F10290V,Canada,50.78611111,-126.41
F10290W,Canada,50.82135,-127.5576
F10290X,Canada,52.78506667,-128.3348333
F10290Y,Canada,50.81463333,-127.4910167
F10290Z,Canada,50.4744516,-125.8083478
F10296,Canada,47.65166879,-55.47290955
F10296A,Canada,47.49887401,-55.7052309
F10296B,Canada,47.4993669,-55.70347137
F10296C,Canada,47.66821386,-55.12720413
F10296D,Canada,47.67416117,-55.132138
F10296E,Canada,47.538333,-55.753333
F10296F,Canada,47.56,-55.748333
F10296G,Canada,47.65683752,-55.3689261
F10296H,Canada,47.49925383,-55.70355806
F10296J,Canada,47.70372298,-55.44252548
F10296K,Canada,47.69166667,-55.01022222
F10296L,Canada,47.64381064,-55.45228614
F10296M,Canada,47.51,-55.77
F10296N,Canada,47.653333,-55.236667
F10296O,Canada,47.63532957,-55.22527267
F10296P,Canada,47.67240856,-55.33604221
F10296Q,Canada,47.65185092,-55.47338204
F10296R,Canada,47.7145968,-55.39645629
F10296S,Canada,47.66628041,-55.37570629
F10296T,Canada,47.56833333,-55.40333333
F10296U,Canada,49.5783082,-55.35725087
F10297,Thailand,17.73055556,104.4019444
F10302A,Chile ,-46.32070702,-73.61301098
F10302B,Chile,-46.21827936,-73.52402343
F10302C,Chile,-46.25083333,-73.57583333
F10302D,Chile,-46.28683889,-73.53458611
F10302E,Chile,-46.215,-73.525
F10302F,Chile,-46.12138889,-73.45333333
F10302G,Chile,-46.21416667,-73.52130833
F10302H,Chile,-46.19166667,-73.51944444
F10302I,Chile,-46.16599167,-73.53089167
F10302J,Chile,-46.12292778,-73.49969444
F10302K,Chile,-46.14920278,-73.46739722
F10302L,Chile,-46.215,-73.525
F10302M,Chile,-44.90239722,-74.26279722
F10302N,Chile,-46.21548808,-73.54874268
F10302O,Chile,-46.20370377,-73.56170568
F10302P,Chile,-46.12481667,-73.45434444
F10304,Vietnam,9.295088889,105.9615194
F10311A,New Zealand,-44.0971333,170.2398056
F10311B,New Zealand,-44.25252222,170.0332833
F10311C,New Zealand,-44.29116543,170.0853916
F10315A,Chile,-42.1090513,-73.38444386
F10315B,Chile,-42.30563333,-73.30898611
F10315C,Chile,-42.35849167,-72.78399444
F10315D,Chile,-42.57674167,-73.43425556
F10315E,Chile,,
F10328A,Chile,-45.20138889,-74.01722222
F10328B,Chile,-45.25354444,-73.93610556
F10328C,Chile,-45.03333333,-74.03416667
F10328D,Chile,-45.52166667,-73.99277778
F10328E,Chile,-45.52314506,-73.99283323
F10328F,Chile,-45.02146111,-73.72371111
F10328G,Chile,-44.44493333,-74.39478889
F10328H,Chile,-44.88811315,-74.26148243
F10328I,Chile,-45.19409167,-74.28654444
F10328J,Chile,-45.20629167,-74.23954444
F10328K,Chile,-45.80491909,-74.39621601
F10328L,Chile,-41.74690833,-72.71246944
F10328M,Chile,-45.02101731,-73.43398704
F10328N,Chile,-45.35490833,-73.05283889
F10328O,Chile,-44.80622222,-74.11685556
F10328P,Chile,-45.01805556,-74.09777778
F10328Q,Chile,-45.31939444,-74.48261944
F10328R,Chile,-44.80622222,-74.11685556
F10328S,Chile,-45.21004722,-74.14722222
F10328T,Chile,-45.15694444,-74.14722222
F10328U,Chile,-44.31118278,-74.31840972
F10328V,Chile,-44.18214444,-74.29414167
F10331A,New Zealand,-41.2474215,174.238058
F10331B,New Zealand,-41.23613039,174.2434233
F10331C,New Zealand,-41.16913056,174.319025
F10331D,New Zealand,-41.2114,174.1405917
F10331E,New Zealand,-40.94866667,173.9531167
F10331F,New Zealand,-40.96992222,173.9539222
F10331G,New Zealand,-41.00464722,173.9677833
F10331H,New Zealand,-41.22268333,174.2679485
F10331I,New Zealand,-41.22944444,174.2699917
F10332,Thailand,8.211666667,98.33055556
F10340,China,20.941084,110.5219837
F10345,China,20.75696062,110.028012
F10350A,India,16.39210309,81.71476922
F10350B,India,16.4034,81.771154
F10350C,India,16.34447689,81.72786398
